Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Lille,1.48,3.1,-1.62,1.42,0.81,0.61,0.06,1.53,-1.47,1.48,2.34,-0.86,4,3,1,2.62,54.9,45.97,48.85,0.6,0.78,225,12,8,19,13.33,24.36,7.87,4,2,11,3,10,93.5,32.85,24.87,27.53,87.7,37.95,0,Auxerre 3-4 Lille,2025-12-14
Auxerre,3.1,1.48,1.62,0.81,1.42,-0.61,1.53,0.06,1.47,2.34,1.48,0.86,3,4,-1,-2.62,45.1,54.03,54.04,0.78,0.6,230,13,19,8,24.36,13.33,10.17,2,4,30,10,21,191.1,67.15,65.47,72.47,143.4,62.05,0,Auxerre 3-4 Lille,2025-12-14
Le Havre,1.74,2.94,-1.2,0.89,2.74,-1.85,0.08,0.21,-0.13,0.98,2.94,-1.96,0,1,-1,0.2,42.6,41.52,46.52,0.28,1.48,133,7,10,18,35.71,12.16,8.63,7,4,22,4,18,54.2,26.62,59.33,77.32,59.33,31.37,0,Olympique Lyonnais 1-0 Le Havre,2025-12-14
Olympique Lyonnais,2.94,1.74,1.2,2.74,0.89,1.85,0.21,0.08,0.13,2.94,0.98,1.96,1,0,1,-0.2,57.4,58.48,51.02,1.48,0.28,221,20,18,10,12.16,35.71,8.0,4,7,30,5,14,149.4,73.38,17.4,22.68,129.8,68.63,1,Olympique Lyonnais 1-0 Le Havre,2025-12-14
Toulouse,2.31,0.79,1.52,1.55,0.78,0.77,0.0,0.02,-0.02,1.55,0.79,0.76,3,0,3,1.48,35.0,39.84,43.92,0.62,0.74,135,10,7,9,11.29,12.16,20.73,2,7,16,4,14,60.4,33.02,142.13,94.55,178.33,94.74,5,Paris FC 0-3 Toulouse,2025-12-13
Paris FC,0.79,2.31,-1.52,0.78,1.55,-0.77,0.02,0.0,0.02,0.79,1.55,-0.76,0,3,-3,-1.48,65.0,60.16,44.42,0.74,0.62,261,12,9,7,12.16,11.29,8.84,7,2,26,7,12,122.5,66.98,8.2,5.45,9.9,5.26,0,Paris FC 0-3 Toulouse,2025-12-13
PSG,2.26,0.82,1.44,2.18,0.74,1.44,0.08,0.09,-0.01,2.26,0.82,1.44,3,2,1,-0.44,59.1,58.5,47.21,0.99,0.37,336,20,14,9,14.14,24.32,15.69,6,5,10,4,10,168.2,73.48,44.73,29.21,142.73,68.48,0,Metz 2-3 PSG,2025-12-13
Metz,0.82,2.26,-1.44,0.74,2.18,-1.44,0.09,0.08,0.01,0.82,2.26,-1.44,2,3,-1,0.44,40.9,41.5,40.84,0.37,0.99,162,9,9,14,24.32,14.14,23.6,5,6,19,4,10,60.7,26.52,108.4,70.79,65.7,31.52,0,Metz 2-3 PSG,2025-12-13
Brest,1.55,1.78,-0.23,1.46,1.58,-0.12,0.1,0.21,-0.11,1.55,1.78,-0.23,1,3,-2,-1.77,39.6,54.11,47.96,0.38,0.36,165,11,14,9,36.84,25.0,8.33,13,8,23,7,22,78.1,49.9,126.8,86.45,146.2,66.93,1,Rennes 3-1 Brest,2025-12-13
Rennes,1.78,1.55,0.23,1.58,1.46,0.12,0.21,0.1,0.11,1.78,1.55,0.23,3,1,2,1.77,60.4,45.89,41.22,0.36,0.38,167,7,9,14,25.0,36.84,6.28,8,13,16,5,16,78.4,50.1,19.87,13.55,72.23,33.07,1,Rennes 3-1 Brest,2025-12-13
